leftArm	 a 	 d 	 alpha 	 offset
leftShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
leftShoulderRoll 0.00000000 0.09800000 1.57079633 0.00000000
leftElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
leftElbowRoll 0.01500000 0.10500000 -1.57079633 0.00000000
leftWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
leftEE 0.00000000 0.11370000 -1.57079633 3.14159265

rightArm	 a 	 d 	 alpha 	 offset
rightShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
rightShoulderRoll 0.00000000 -0.09800000 1.57079633 0.00000000
rightElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
rightElbowRoll -0.01500000 0.10500000 -1.57079633 0.00000000
rightWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
rightEE 0.00000000 0.11370000 -1.57079633 3.14159265

head	 a 	 d 	 alpha 	 offset
headYaw 0.00000000 0.12650000 0.00000000 0.00000000
headPitch 0.00000000 0.00000000 -1.57079633 0.00000000
headEE 0.00000000 0.00000000 0.00000000 0.00000000

torsoSkin	 x(a) 	 y(d) 	 z(alfa) 	 alfa(offset) 	 beta(-) 	 gama(-)
torsoPlastic 0.00000000 0.00000000 0.00000000 0.00000000 NaN   NaN  
torsoLeftPatch 0.06012208 0.01665800 -0.00116878 0.00000000 0.00000000 0.00000000
torsoRightPatch 0.05047744 -0.04820401 -0.00116878 0.00000000 0.00000000 0.00000000
torsoTriangle0 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle1 -0.00155133 0.01646309 0.00962000 0.00000000 0.00000000 0.00000000
torsoTriangle2 -0.00964727 0.03155000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle3 -0.01927279 0.04386309 0.00962000 0.00000000 0.00000000 0.00000000
torsoTriangle4 -0.01572203 0.04493408 0.02899000 0.00000000 0.00000000 0.00000000
torsoTriangle5 0.00437792 -0.01665800 0.06773000 0.00000000 0.00000000 0.00000000
torsoTriangle8 -0.00447405 0.03234399 0.05804000 0.00000000 0.00000000 0.00000000
torsoTriangle9 0.00126868 0.01635712 0.06773000 0.00000000 0.00000000 0.00000000
torsoTriangle10 0.00372748 0.00002399 0.05804000 0.00000000 0.00000000 0.00000000
torsoTriangle11 0.00366162 0.00002399 0.03868000 0.00000000 0.00000000 0.00000000
torsoTriangle12 0.00061965 0.01655408 0.02899000 0.00000000 0.00000000 0.00000000
torsoTriangle13 -0.00457590 0.03234399 0.03868000 0.00000000 0.00000000 0.00000000
torsoTriangle14 0.00387727 -0.01665800 0.02899000 0.00000000 0.00000000 0.00000000
torsoTriangle15 0.00199864 -0.01665800 0.00962000 0.00000000 0.00000000 0.00000000
torsoTriangle16 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle17 0.00809436 0.01508691 0.00962000 0.00000000 0.00000000 0.00000000
torsoTriangle18 0.00964503 0.03155000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle24 0.01337245 0.03152601 0.05804000 0.00000000 0.00000000 0.00000000
torsoTriangle25 0.01091423 0.01519288 0.06773000 0.00000000 0.00000000 0.00000000
torsoTriangle26 0.00517269 -0.00079399 0.05804000 0.00000000 0.00000000 0.00000000
torsoTriangle27 0.00507085 -0.00079399 0.03868000 0.00000000 0.00000000 0.00000000
torsoTriangle28 0.01026525 0.01499592 0.02899000 0.00000000 0.00000000 0.00000000
torsoTriangle29 0.01330659 0.03152601 0.03868000 0.00000000 0.00000000 0.00000000
torsoTriangle30 -0.00607251 -0.01338408 0.02899000 0.00000000 0.00000000 0.00000000
torsoTriangle31 -0.00962247 -0.01231309 0.00962000 0.00000000 0.00000000 0.00000000
torsoTaxel0_0 0.00055280 -0.00321936 -0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel0_1 0.00165878 -0.00966030 -0.00565710 0.00000000 0.00000000 0.00000000
torsoTaxel0_2 0.00110598 -0.00644094 0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel0_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_4 0.00055310 -0.00322109 0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel0_5 0.00000030 -0.00000173 0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel0_7 -0.00055280 0.00321936 0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel0_8 -0.00110598 0.00644094 -0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel0_9 -0.00165864 0.00965947 -0.00565845 0.00000000 0.00000000 0.00000000
torsoTaxel0_11 -0.00055310 0.00322109 -0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel1_0 -0.00093995 0.00312836 -0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel1_1 0.00000048 -0.00000161 -0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel1_2 0.00094043 -0.00312996 -0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel1_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
