leftArm	 a 	 d 	 alpha 	 offset
leftShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
leftShoulderRoll 0.00000000 0.09800000 1.57079633 0.00000000
leftElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
leftElbowRoll 0.00000000 0.10500000 -1.57079633 0.00000000
leftWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
leftEE 0.00000000 0.00000000 -1.57079633 3.14159265

rightArm	 a 	 d 	 alpha 	 offset
rightShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
rightShoulderRoll 0.00000000 -0.09800000 1.57079633 0.00000000
rightElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
rightElbowRoll 0.00000000 0.10500000 -1.57079633 0.00000000
rightWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
rightEE 0.00000000 0.00000000 -1.57079633 3.14159265

head	 a 	 d 	 alpha 	 offset
headYaw 0.00000000 0.12650000 0.00000000 0.00000000
headPitch 0.00000000 0.00000000 -1.57079633 0.00000000
headEE 0.00000000 0.00000000 0.00000000 0.00000000

torsoSkin	 a 	 d 	 alpha 	 offset
torsoPlastic 0.00000000 0.00000000 0.00000000 0.00000000
torsoLeftPatch 0.00000000 0.00000000 0.00000000 0.00000000
torsoRightPatch 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle10 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle12 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle13 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle14 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle15 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle16 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle17 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle18 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle24 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle25 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle26 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle27 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle28 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle29 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle30 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle31 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_2 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_3 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_4 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_5 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_7 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_8 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_9 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_11 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel2_0 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel2_1 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel2_2 0.00000000 0.00000000 0.00000000 0.00000000
