leftArm	 a 	 d 	 alpha 	 offset
leftShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
leftShoulderRoll 0.00000000 0.09800000 1.57079633 0.00000000
leftElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
leftElbowRoll 0.01500000 0.10500000 -1.57079633 0.00000000
leftWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
leftEE 0.00000000 0.11370000 -1.57079633 3.14159265

rightArm	 a 	 d 	 alpha 	 offset
rightShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
rightShoulderRoll 0.00000000 -0.09800000 1.57079633 0.00000000
rightElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
rightElbowRoll -0.01500000 0.10500000 -1.57079633 0.00000000
rightWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
rightEE 0.00000000 0.11370000 -1.57079633 3.14159265

head	 a 	 d 	 alpha 	 offset
headYaw 0.00000000 0.12650000 0.00000000 0.00000000
headPitch 0.00000000 0.00000000 -1.57079633 0.00000000
headEE 0.00000000 0.00000000 0.00000000 0.00000000

leftFinger	 x 	 y 	 z 	 alfa 	 beta 	 gama
leftFinger 0.00000000 0.00000000 0.06000000 0.00000000 0.00000000 0.00000000

rightFinger	 x 	 y 	 z 	 alfa 	 beta 	 gama
rightFinger 0.00000000 0.00000000 0.06000000 0.00000000 0.00000000 0.00000000

torsoSkin	 x 	 y 	 z 	 alfa 	 beta 	 gama
torsoSkinMount 0.06460000 0.00060000 0.04680000 -0.00120000 0.04270000 0.00050000
torsoLeftPatch -0.00183474 0.01633336 -0.04829567 0.00000000 0.00000000 0.00000000
torsoRightPatch -0.01154464 -0.04886869 -0.04817330 0.00000000 0.00000000 0.00000000
torsoTriangle0 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle1 -0.00206209 0.01668854 0.00985834 0.00000000 0.00000000 0.00000000
torsoTriangle2 -0.00938424 0.03168960 0.00021332 0.00000000 0.00000000 0.00000000
torsoTriangle3 -0.01966394 0.04411881 0.01019389 0.00000000 0.00000000 0.00000000
torsoTriangle4 -0.01768312 0.04499801 0.02935350 0.00000000 0.00000000 0.00000000
torsoTriangle5 0.00076863 -0.01672672 0.06730305 0.00000000 0.00000000 0.00000000
torsoTriangle8 -0.00777685 0.03218516 0.05765700 0.00000000 0.00000000 0.00000000
torsoTriangle9 -0.00261068 0.01657074 0.06758894 0.00000000 0.00000000 0.00000000
torsoTriangle10 0.00046832 -0.00005972 0.05781219 0.00000000 0.00000000 0.00000000
torsoTriangle11 0.00133951 0.00024805 0.03862952 0.00000000 0.00000000 0.00000000
torsoTriangle12 -0.00123124 0.01728368 0.02893845 0.00000000 0.00000000 0.00000000
torsoTriangle13 -0.00696027 0.03238408 0.03857710 0.00000000 0.00000000 0.00000000
torsoTriangle14 0.00244614 -0.01641050 0.02897211 0.00000000 0.00000000 0.00000000
torsoTriangle15 0.00169938 -0.01658357 0.00984989 0.00000000 0.00000000 0.00000000
torsoTriangle16 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTriangle17 0.00776880 0.01469890 0.00960741 0.00000000 0.00000000 0.00000000
torsoTriangle18 0.01001190 0.03130200 0.00013045 0.00000000 0.00000000 0.00000000
torsoTriangle24 0.01047976 0.03105597 0.05758560 0.00000000 0.00000000 0.00000000
torsoTriangle25 0.00757662 0.01468840 0.06739188 0.00000000 0.00000000 0.00000000
torsoTriangle26 0.00230080 -0.00110205 0.05762970 0.00000000 0.00000000 0.00000000
torsoTriangle27 0.00305705 -0.00105659 0.03853463 0.00000000 0.00000000 0.00000000
torsoTriangle28 0.00889932 0.01438027 0.02875099 0.00000000 0.00000000 0.00000000
torsoTriangle29 0.01145656 0.03080874 0.03839259 0.00000000 0.00000000 0.00000000
torsoTriangle30 -0.00813231 -0.01369329 0.02927733 0.00000000 0.00000000 0.00000000
torsoTriangle31 -0.01050372 -0.01221623 0.01010732 0.00000000 0.00000000 0.00000000
torsoTaxel0_0 0.00022646 -0.00330592 -0.00569136 0.00000000 0.00000000 0.00000000
torsoTaxel0_1 0.00057806 -0.00980395 -0.00566302 0.00000000 0.00000000 0.00000000
torsoTaxel0_2 0.00073373 -0.00649161 -0.00001082 0.00000000 0.00000000 0.00000000
torsoTaxel0_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel0_4 0.00082921 -0.00326065 0.00549965 0.00000000 0.00000000 0.00000000
torsoTaxel0_5 0.00093218 0.00006688 0.01118393 0.00000000 0.00000000 0.00000000
torsoTaxel0_7 0.00018968 0.00324638 0.00558611 0.00000000 0.00000000 0.00000000
torsoTaxel0_8 -0.00074521 0.00637716 -0.00002214 0.00000000 0.00000000 0.00000000
torsoTaxel0_9 -0.00163072 0.00956482 -0.00557686 0.00000000 0.00000000 0.00000000
torsoTaxel0_11 -0.00052916 0.00324388 -0.00565112 0.00000000 0.00000000 0.00000000
torsoTaxel1_0 -0.00131776 0.00303759 -0.00560579 0.00000000 0.00000000 0.00000000
torsoTaxel1_1 -0.00097133 -0.00024018 -0.01138942 0.00000000 0.00000000 0.00000000
torsoTaxel1_2 0.00038836 -0.00332163 -0.00576633 0.00000000 0.00000000 0.00000000
torsoTaxel1_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel1_4 0.00149151 -0.00643976 -0.00007251 0.00000000 0.00000000 0.00000000
torsoTaxel1_5 0.00224059 -0.00959372 0.00553694 0.00000000 0.00000000 0.00000000
torsoTaxel1_7 0.00116045 -0.00307196 0.00553754 0.00000000 0.00000000 0.00000000
torsoTaxel1_8 -0.00051441 0.00317337 0.00554917 0.00000000 0.00000000 0.00000000
torsoTaxel1_9 -0.00278323 0.00928075 0.00564910 0.00000000 0.00000000 0.00000000
torsoTaxel1_11 -0.00195927 0.00616898 -0.00005844 0.00000000 0.00000000 0.00000000
torsoTaxel2_0 0.00135178 -0.00307843 -0.00575963 0.00000000 0.00000000 0.00000000
torsoTaxel2_1 0.00407583 -0.00896537 -0.00578753 0.00000000 0.00000000 0.00000000
torsoTaxel2_2 0.00334329 -0.00570445 -0.00021243 0.00000000 0.00000000 0.00000000
torsoTaxel2_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel2_4 0.00229182 -0.00256366 0.00546553 0.00000000 0.00000000 0.00000000
torsoTaxel2_5 0.00106703 0.00042533 0.01104955 0.00000000 0.00000000 0.00000000
torsoTaxel2_7 -0.00124625 0.00286775 0.00548607 0.00000000 0.00000000 0.00000000
torsoTaxel2_8 -0.00390306 0.00516394 -0.00003769 0.00000000 0.00000000 0.00000000
torsoTaxel2_9 -0.00672117 0.00707253 -0.00552705 0.00000000 0.00000000 0.00000000
torsoTaxel2_11 -0.00244024 0.00237844 -0.00571254 0.00000000 0.00000000 0.00000000
torsoTaxel3_0 -0.00343740 0.00139510 -0.00537919 0.00000000 0.00000000 0.00000000
torsoTaxel3_1 -0.00136224 -0.00082294 -0.01117589 0.00000000 0.00000000 0.00000000
torsoTaxel3_2 0.00192560 -0.00217313 -0.00565131 0.00000000 0.00000000 0.00000000
torsoTaxel3_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel3_4 0.00498059 -0.00412036 -0.00032674 0.00000000 0.00000000 0.00000000
torsoTaxel3_5 0.00773636 -0.00624313 0.00526223 0.00000000 0.00000000 0.00000000
torsoTaxel3_7 0.00320402 -0.00155301 0.00542826 0.00000000 0.00000000 0.00000000
torsoTaxel3_8 -0.00203685 0.00232668 0.00570447 0.00000000 0.00000000 0.00000000
torsoTaxel3_9 -0.00770173 0.00542310 0.00627365 0.00000000 0.00000000 0.00000000
torsoTaxel3_11 -0.00556785 0.00347077 0.00047524 0.00000000 0.00000000 0.00000000
torsoTaxel4_0 -0.00508710 0.00385455 0.00038647 0.00000000 0.00000000 0.00000000
torsoTaxel4_1 -0.00872470 0.00512691 -0.00517239 0.00000000 0.00000000 0.00000000
torsoTaxel4_2 -0.00299889 0.00189429 -0.00543331 0.00000000 0.00000000 0.00000000
torsoTaxel4_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel4_4 0.00197751 -0.00217859 -0.00581635 0.00000000 0.00000000 0.00000000
torsoTaxel4_5 0.00649722 -0.00682114 -0.00610434 0.00000000 0.00000000 0.00000000
torsoTaxel4_7 0.00486313 -0.00427225 -0.00032501 0.00000000 0.00000000 0.00000000
torsoTaxel4_8 0.00293747 -0.00199581 0.00538764 0.00000000 0.00000000 0.00000000
torsoTaxel4_9 0.00069868 -0.00015976 0.01118371 0.00000000 0.00000000 0.00000000
torsoTaxel4_11 -0.00203009 0.00205802 0.00576235 0.00000000 0.00000000 0.00000000
torsoTaxel5_0 -0.00023955 0.00319255 0.00564123 0.00000000 0.00000000 0.00000000
torsoTaxel5_1 -0.00055810 0.00975816 0.00565449 0.00000000 0.00000000 0.00000000
torsoTaxel5_2 -0.00016212 0.00652821 0.00006349 0.00000000 0.00000000 0.00000000
torsoTaxel5_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel5_4 0.00024582 0.00328227 -0.00561351 0.00000000 0.00000000 0.00000000
