leftArm	 a 	 d 	 alpha 	 offset
TT2 0.00000000 -0.26300000 -0.26179939 -1.57079633
S2 0.15000000 1.41590000 -1.57079633 0.00000000
L2 0.61400000 0.00000000 3.14159265 -1.57079633
U2 0.20000000 0.00000000 -1.57079633 0.00000000
R2 0.00000000 -0.64000000 1.57079633 0.00000000
B2 0.03000000 0.00000000 1.57079633 -1.57079633
T2 0.00000000 0.20000000 0.00000000 0.00000000
EE2 0.00000000 0.35400000 0.00000000 0.00000000

rightArm	 a 	 d 	 alpha 	 offset
TT1 0.00000000 -0.26300000 0.26179939 -1.57079633
S1 0.15000000 1.41590000 -1.57079633 0.00000000
L1 0.61398528 0.00000000 3.14023655 -1.56831081
U1 0.20099293 0.00326351 -1.57630592 0.00265393
R1 -0.00823247 -0.64717564 1.56988627 0.00066334
B1 0.02735012 -0.00056545 1.57135639 -1.57285307
T1 0.00047645 0.20000000 -0.00182515 0.00000000
EE1 0.00047646 0.36975248 0.00000000 0.00000222

leftEye	 a 	 d 	 alpha 	 offset
leftHead 0.23150000 1.86020000 2.54860000 0.08600000
leftEye 0.00000000 -0.49820000 0.00000000 -3.06180000

rightEye	 a 	 d 	 alpha 	 offset
rightHead 0.07410000 1.80340000 -2.50860000 -2.77530000
rightEye 0.00000000 -0.56700000 0.00000000 0.28630000

leftMarkers	 x 	 y 	 z 	 alfa 	 beta 	 gama
MK201 0.03200057 0.00000000 -0.04189075 0.00000000 2.48925128 0.00000000
MK202 0.00989000 0.03043499 -0.04188998 -2.36737152 0.76928879 0.00000000
MK203 -0.02588996 0.01880997 -0.04188993 -1.46312074 -2.01383286 -0.00000000
MK204 -0.02588996 -0.01880997 -0.04188993 1.46312074 -2.01383286 0.00000000
MK205 0.00989000 -0.03043499 -0.04188998 2.36737152 0.76928879 -0.00000000
MK206 0.05177898 0.00000000 -0.00988981 0.00000000 1.75952363 0.00000000
MK207 0.01599997 0.04924490 -0.00988998 -1.67341632 0.54370315 -0.00000000
MK208 -0.04188998 0.03043499 -0.00989000 -1.03422717 -1.42348534 0.00000000
MK209 -0.04188998 -0.03043499 -0.00989000 1.03422717 -1.42348534 -0.00000000
MK210 0.01599997 -0.04924490 -0.00988998 1.67341632 0.54370315 0.00000000
MK211 0.04188998 -0.03043499 0.00989000 0.81235996 1.11811266 0.00000000
MK212 0.04188998 0.03043499 0.00989000 -0.81235996 1.11811266 -0.00000000
MK213 -0.01599997 0.04924490 0.00988998 -1.31442780 -0.42706559 -0.00000000
MK214 -0.05177898 0.00000000 0.00988981 0.00000000 -1.38206902 0.00000000
MK215 -0.01599997 -0.04924490 0.00988998 1.31442780 -0.42706559 0.00000000
MK216 0.02588996 -0.01880997 0.04188993 0.38344913 0.52777767 0.00000000
MK217 0.02588996 0.01880997 0.04188993 -0.38344913 0.52777767 -0.00000000
MK218 -0.00989000 0.03043499 0.04188998 -0.62042980 -0.20161166 -0.00000000
MK219 -0.03200057 0.00000000 0.04189075 0.00000000 -0.65234137 0.00000000
MK220 -0.00989000 -0.03043499 0.04188998 0.62042980 -0.20161166 0.00000000

rightMarkers	 x 	 y 	 z 	 alfa 	 beta 	 gama
MK101 0.03200057 0.00000000 -0.04189075 0.00000000 2.48925128 0.00000000
MK102 0.00989000 0.03043499 -0.04188998 -2.36737152 0.76928879 0.00000000
MK103 -0.02588996 0.01880997 -0.04188993 -1.46312074 -2.01383286 -0.00000000
MK104 -0.02588996 -0.01880997 -0.04188993 1.46312074 -2.01383286 0.00000000
MK105 0.00989000 -0.03043499 -0.04188998 2.36737152 0.76928879 -0.00000000
MK106 0.05177898 0.00000000 -0.00988981 0.00000000 1.75952363 0.00000000
MK107 0.01599997 0.04924490 -0.00988998 -1.67341632 0.54370315 -0.00000000
MK108 -0.04188998 0.03043499 -0.00989000 -1.03422717 -1.42348534 0.00000000
MK109 -0.04188998 -0.03043499 -0.00989000 1.03422717 -1.42348534 -0.00000000
MK110 0.01599997 -0.04924490 -0.00988998 1.67341632 0.54370315 0.00000000
MK111 0.04188998 -0.03043499 0.00989000 0.81235996 1.11811266 0.00000000
MK112 0.04188998 0.03043499 0.00989000 -0.81235996 1.11811266 -0.00000000
MK113 -0.01599997 0.04924490 0.00988998 -1.31442780 -0.42706559 -0.00000000
MK114 -0.05177898 0.00000000 0.00988981 0.00000000 -1.38206902 0.00000000
MK115 -0.01599997 -0.04924490 0.00988998 1.31442780 -0.42706559 0.00000000
MK116 0.02588996 -0.01880997 0.04188993 0.38344913 0.52777767 0.00000000
MK117 0.02588996 0.01880997 0.04188993 -0.38344913 0.52777767 -0.00000000
MK118 -0.00989000 0.03043499 0.04188998 -0.62042980 -0.20161166 -0.00000000
MK119 -0.03200057 0.00000000 0.04189075 0.00000000 -0.65234137 0.00000000
MK120 -0.00989000 -0.03043499 0.04188998 0.62042980 -0.20161166 0.00000000

